City,Month,Year,CPI
KOTA JAYAPURA,maret,2008,185.37
KOTA MEULABOH,april,2008,0.0
KOTA BANDA ACEH,april,2008,205.6
KOTA LHOKSEUMAWE,april,2008,163.93
KOTA SIBOLGA,april,2008,165.64
KOTA PEMATANG SIANTAR,april,2008,162.18
KOTA MEDAN,april,2008,168.02
KOTA PADANGSIDIMPUAN,april,2008,171.97
KOTA PADANG,april,2008,167.4
KOTA BUKITTINGGI,april,2008,0.0
TEMBILAHAN,april,2008,0.0
KOTA PEKANBARU,april,2008,109.6
KOTA DUMAI,april,2008,107.13
BUNGO,april,2008,0.0
KOTA JAMBI,april,2008,169.01
KOTA PALEMBANG,april,2008,179.71
KOTA LUBUKLINGGAU,april,2008,0.0
KOTA BENGKULU,april,2008,165.49
KOTA BANDAR LAMPUNG,april,2008,163.9
KOTA METRO,april,2008,0.0
TANJUNG PANDAN,april,2008,0.0
KOTA PANGKAL PINANG,april,2008,166.17
KOTA BATAM,april,2008,143.77
KOTA TANJUNG PINANG,april,2008,107.13
DKI JAKARTA,april,2008,157.82
KOTA BOGOR,april,2008,108.31
KOTA SUKABUMI,april,2008,105.87
KOTA BANDUNG,april,2008,163.23
KOTA CIREBON,april,2008,154.64
KOTA BEKASI,april,2008,106.07
KOTA DEPOK,april,2008,106.44
KOTA TASIKMALAYA,april,2008,170.19
CILACAP,april,2008,0.0
PURWOKERTO,april,2008,156.42
KUDUS,april,2008,0.0
KOTA SURAKARTA,april,2008,144.31
KOTA SEMARANG,april,2008,164.26
KOTA TEGAL,april,2008,162.29
KOTA YOGYAKARTA,april,2008,168.04
JEMBER,april,2008,160.2
BANYUWANGI,april,2008,0.0
SUMENEP,april,2008,103.39
KOTA KEDIRI,april,2008,158.01
KOTA MALANG,april,2008,159.1
KOTA PROBOLINGGO,april,2008,108.87
KOTA MADIUN,april,2008,157.86
KOTA SURABAYA,april,2008,157.86
KOTA TANGERANG,april,2008,106.58
KOTA CILEGON,april,2008,106.17
KOTA SERANG,april,2008,164.04
SINGARAJA,april,2008,0.0
KOTA DENPASAR,april,2008,150.0
KOTA MATARAM,april,2008,156.12
KOTA BIMA,april,2008,107.03
MAUMERE,april,2008,108.31
KOTA KUPANG,april,2008,171.78
KOTA PONTIANAK,april,2008,159.64
KOTA SINGKAWANG,april,2008,107.88
SAMPIT,april,2008,150.63
KOTA PALANGKA RAYA,april,2008,159.83
TANJUNG,april,2008,0.0
KOTA BANJARMASIN,april,2008,168.63
KOTA BALIKPAPAN,april,2008,168.96
KOTA SAMARINDA,april,2008,166.91
KOTA TARAKAN,april,2008,110.72
KOTA MANADO,april,2008,158.02
KOTA PALU,april,2008,168.69
BULUKUMBA,april,2008,0.0
WATAMPONE,april,2008,111.14
KOTA MAKASSAR,april,2008,155.3
KOTA PARE-PARE,april,2008,143.77
KOTA PALOPO,april,2008,110.76
KOTA KENDARI,april,2008,175.05
KOTA BAU-BAU,april,2008,0.0
KOTA GORONTALO,april,2008,155.68
MAMUJU,april,2008,108.82
KOTA AMBON,april,2008,150.76
KOTA TUAL,april,2008,0.0
KOTA TERNATE,april,2008,168.54
MANOKWARI,april,2008,105.99
KOTA SORONG,april,2008,109.34
MERAUKE,april,2008,0.0
KOTA JAYAPURA,april,2008,184.53
KOTA MEULABOH,mei,2008,0.0
KOTA BANDA ACEH,mei,2008,213.37
KOTA LHOKSEUMAWE,mei,2008,165.54
KOTA SIBOLGA,mei,2008,168.48
KOTA PEMATANG SIANTAR,mei,2008,165.34
KOTA MEDAN,mei,2008,170.65
KOTA PADANGSIDIMPUAN,mei,2008,173.2
KOTA PADANG,mei,2008,168.3
KOTA BUKITTINGGI,mei,2008,0.0
TEMBILAHAN,mei,2008,0.0
KOTA PEKANBARU,mei,2008,111.1
KOTA DUMAI,mei,2008,109.2
BUNGO,mei,2008,0.0
KOTA JAMBI,mei,2008,173.29
KOTA PALEMBANG,mei,2008,182.52
KOTA LUBUKLINGGAU,mei,2008,0.0
KOTA BENGKULU,mei,2008,169.11
KOTA BANDAR LAMPUNG,mei,2008,167.96
KOTA METRO,mei,2008,0.0
TANJUNG PANDAN,mei,2008,0.0
KOTA PANGKAL PINANG,mei,2008,170.18
KOTA BATAM,mei,2008,144.64
KOTA TANJUNG PINANG,mei,2008,108.96
DKI JAKARTA,mei,2008,160.2
KOTA BOGOR,mei,2008,111.51
KOTA SUKABUMI,mei,2008,106.13
KOTA BANDUNG,mei,2008,165.83
KOTA CIREBON,mei,2008,157.07
KOTA BEKASI,mei,2008,107.2
KOTA DEPOK,mei,2008,107.24
KOTA TASIKMALAYA,mei,2008,172.31
CILACAP,mei,2008,0.0
PURWOKERTO,mei,2008,157.93
KUDUS,mei,2008,0.0
KOTA SURAKARTA,mei,2008,146.35
KOTA SEMARANG,mei,2008,166.21
KOTA TEGAL,mei,2008,164.23
KOTA YOGYAKARTA,mei,2008,169.86
JEMBER,mei,2008,162.42
BANYUWANGI,mei,2008,0.0
SUMENEP,mei,2008,105.27
KOTA KEDIRI,mei,2008,160.31
KOTA MALANG,mei,2008,159.62
KOTA PROBOLINGGO,mei,2008,109.53
KOTA MADIUN,mei,2008,160.06
KOTA SURABAYA,mei,2008,160.06
KOTA TANGERANG,mei,2008,108.72
KOTA CILEGON,mei,2008,109.97
KOTA SERANG,mei,2008,165.53
SINGARAJA,mei,2008,0.0
KOTA DENPASAR,mei,2008,151.73
KOTA MATARAM,mei,2008,158.92
KOTA BIMA,mei,2008,109.0
MAUMERE,mei,2008,112.57
KOTA KUPANG,mei,2008,175.19
KOTA PONTIANAK,mei,2008,162.27
KOTA SINGKAWANG,mei,2008,110.19
SAMPIT,mei,2008,152.57
KOTA PALANGKA RAYA,mei,2008,160.13
TANJUNG,mei,2008,0.0
KOTA BANJARMASIN,mei,2008,169.62
KOTA BALIKPAPAN,mei,2008,169.72
KOTA SAMARINDA,mei,2008,170.38
KOTA TARAKAN,mei,2008,112.38
KOTA MANADO,mei,2008,159.33
KOTA PALU,mei,2008,171.85
BULUKUMBA,mei,2008,0.0
WATAMPONE,mei,2008,109.72
KOTA MAKASSAR,mei,2008,156.53
KOTA PARE-PARE,mei,2008,144.64
KOTA PALOPO,mei,2008,112.97
KOTA KENDARI,mei,2008,178.78
KOTA BAU-BAU,mei,2008,0.0
KOTA GORONTALO,mei,2008,157.71
MAMUJU,mei,2008,109.65
KOTA AMBON,mei,2008,155.86
KOTA TUAL,mei,2008,0.0
KOTA TERNATE,mei,2008,172.88
MANOKWARI,mei,2008,106.43
KOTA SORONG,mei,2008,117.19
MERAUKE,mei,2008,0.0
KOTA JAYAPURA,mei,2008,185.51
KOTA MEULABOH,juni,2008,0.0
KOTA BANDA ACEH,juni,2008,110.54
KOTA LHOKSEUMAWE,juni,2008,108.77
KOTA SIBOLGA,juni,2008,109.68
KOTA PEMATANG SIANTAR,juni,2008,110.11
KOTA MEDAN,juni,2008,109.92
KOTA PADANGSIDIMPUAN,juni,2008,112.34
KOTA PADANG,juni,2008,111.41
KOTA BUKITTINGGI,juni,2008,0.0
TEMBILAHAN,juni,2008,0.0
KOTA PEKANBARU,juni,2008,114.17
KOTA DUMAI,juni,2008,113.35
BUNGO,juni,2008,0.0
KOTA JAMBI,juni,2008,112.91
KOTA PALEMBANG,juni,2008,112.66
KOTA LUBUKLINGGAU,juni,2008,0.0
KOTA BENGKULU,juni,2008,112.19
KOTA BANDAR LAMPUNG,juni,2008,111.88
KOTA METRO,juni,2008,0.0
TANJUNG PANDAN,juni,2008,0.0
KOTA PANGKAL PINANG,juni,2008,114.05
KOTA BATAM,juni,2008,107.86
KOTA TANJUNG PINANG,juni,2008,111.63
DKI JAKARTA,juni,2008,109.33
KOTA BOGOR,juni,2008,112.79
KOTA SUKABUMI,juni,2008,109.1
KOTA BANDUNG,juni,2008,110.27
KOTA CIREBON,juni,2008,112.42
KOTA BEKASI,juni,2008,108.53
KOTA DEPOK,juni,2008,109.87
KOTA TASIKMALAYA,juni,2008,109.69
CILACAP,juni,2008,0.0
PURWOKERTO,juni,2008,108.41
KUDUS,juni,2008,0.0
KOTA SURAKARTA,juni,2008,106.45
KOTA SEMARANG,juni,2008,109.37
KOTA TEGAL,juni,2008,109.31
KOTA YOGYAKARTA,juni,2008,109.21
JEMBER,juni,2008,112.02
BANYUWANGI,juni,2008,0.0
SUMENEP,juni,2008,106.98
KOTA KEDIRI,juni,2008,109.21
KOTA MALANG,juni,2008,109.53
KOTA PROBOLINGGO,juni,2008,111.51
KOTA MADIUN,juni,2008,108.39
KOTA SURABAYA,juni,2008,108.39
KOTA TANGERANG,juni,2008,112.03
KOTA CILEGON,juni,2008,112.29
KOTA SERANG,juni,2008,110.31
SINGARAJA,juni,2008,0.0
