City,Month,Year,Inflation,CPI
KOTA JAYAPURA,april,2008,-0.45,184.53
KOTA MEULABOH,mei,2008,0,0
KOTA BANDA ACEH,mei,2008,3.78,213.37
KOTA LHOKSEUMAWE,mei,2008,0.98,165.54
KOTA SIBOLGA,mei,2008,1.71,168.48
KOTA PEMATANG SIANTAR,mei,2008,1.95,165.34
KOTA MEDAN,mei,2008,1.57,170.65
KOTA PADANGSIDIMPUAN,mei,2008,0.72,173.2
KOTA PADANG,mei,2008,0.54,168.3
KOTA BUKITTINGGI,mei,2008,0,0
TEMBILAHAN,mei,2008,0,0
KOTA PEKANBARU,mei,2008,0.51,111.1
KOTA DUMAI,mei,2008,1.93,109.2
BUNGO,mei,2008,0,0
KOTA JAMBI,mei,2008,2.53,173.29
KOTA PALEMBANG,mei,2008,1.56,182.52
KOTA LUBUKLINGGAU,mei,2008,0,0
KOTA BENGKULU,mei,2008,2.19,169.11
KOTA BANDAR LAMPUNG,mei,2008,2.48,167.96
KOTA METRO,mei,2008,0,0
TANJUNG PANDAN,mei,2008,0,0
KOTA PANGKAL PINANG,mei,2008,2.41,170.18
KOTA BATAM,mei,2008,0.61,144.64
KOTA TANJUNG PINANG,mei,2008,1.71,108.96
DKI JAKARTA,mei,2008,1.51,160.2
KOTA BOGOR,mei,2008,2.95,111.51
KOTA SUKABUMI,mei,2008,0.25,106.13
KOTA BANDUNG,mei,2008,1.59,165.83
KOTA CIREBON,mei,2008,1.57,157.07
KOTA BEKASI,mei,2008,1.07,107.2
KOTA DEPOK,mei,2008,0.75,107.24
KOTA TASIKMALAYA,mei,2008,1.25,172.31
CILACAP,mei,2008,0,0
PURWOKERTO,mei,2008,0.97,157.93
KUDUS,mei,2008,0,0
KOTA SURAKARTA,mei,2008,1.41,146.35
KOTA SEMARANG,mei,2008,1.19,166.21
KOTA TEGAL,mei,2008,1.2,164.23
KOTA YOGYAKARTA,mei,2008,1.08,169.86
JEMBER,mei,2008,1.39,162.42
BANYUWANGI,mei,2008,0,0
SUMENEP,mei,2008,1.82,105.27
KOTA KEDIRI,mei,2008,1.46,160.31
KOTA MALANG,mei,2008,0.33,159.62
KOTA PROBOLINGGO,mei,2008,0.61,109.53
KOTA MADIUN,mei,2008,1.33,160.06
KOTA SURABAYA,mei,2008,1.39,160.06
KOTA TANGERANG,mei,2008,2.01,108.72
KOTA CILEGON,mei,2008,3.58,109.97
KOTA SERANG,mei,2008,0.91,165.53
SINGARAJA,mei,2008,0,0
KOTA DENPASAR,mei,2008,1.15,151.73
KOTA MATARAM,mei,2008,1.79,158.92
KOTA BIMA,mei,2008,1.84,109
MAUMERE,mei,2008,3.93,112.57
KOTA KUPANG,mei,2008,1.99,175.19
KOTA PONTIANAK,mei,2008,1.65,162.27
KOTA SINGKAWANG,mei,2008,2.14,110.19
SAMPIT,mei,2008,1.29,152.57
KOTA PALANGKA RAYA,mei,2008,0.19,160.13
TANJUNG,mei,2008,0,0
KOTA BANJARMASIN,mei,2008,0.59,169.62
KOTA BALIKPAPAN,mei,2008,0.45,169.72
KOTA SAMARINDA,mei,2008,2.08,170.38
KOTA TARAKAN,mei,2008,1.5,112.38
KOTA MANADO,mei,2008,0.83,159.33
KOTA PALU,mei,2008,1.87,171.85
BULUKUMBA,mei,2008,0,0
WATAMPONE,mei,2008,-1.28,109.72
KOTA MAKASSAR,mei,2008,0.79,156.53
KOTA PARE-PARE,mei,2008,1.37,144.64
KOTA PALOPO,mei,2008,2,112.97
KOTA KENDARI,mei,2008,2.13,178.78
KOTA BAU-BAU,mei,2008,0,0
KOTA GORONTALO,mei,2008,1.3,157.71
MAMUJU,mei,2008,0.76,109.65
KOTA AMBON,mei,2008,3.38,155.86
KOTA TUAL,mei,2008,0,0
KOTA TERNATE,mei,2008,2.58,172.88
MANOKWARI,mei,2008,0.42,106.43
KOTA SORONG,mei,2008,7.18,117.19
MERAUKE,mei,2008,0,0
KOTA JAYAPURA,mei,2008,0.53,185.51
KOTA MEULABOH,juni,2008,0,0
KOTA BANDA ACEH,juni,2008,2.75,110.54
KOTA LHOKSEUMAWE,juni,2008,4.38,108.77
KOTA SIBOLGA,juni,2008,2.31,109.68
KOTA PEMATANG SIANTAR,juni,2008,2.88,110.11
KOTA MEDAN,juni,2008,2.07,109.92
KOTA PADANGSIDIMPUAN,juni,2008,2.53,112.34
KOTA PADANG,juni,2008,4.09,111.41
KOTA BUKITTINGGI,juni,2008,0,0
TEMBILAHAN,juni,2008,0,0
KOTA PEKANBARU,juni,2008,2.46,114.17
KOTA DUMAI,juni,2008,3.8,113.35
BUNGO,juni,2008,0,0
KOTA JAMBI,juni,2008,4.19,112.91
KOTA PALEMBANG,juni,2008,3.41,112.66
KOTA LUBUKLINGGAU,juni,2008,0,0
KOTA BENGKULU,juni,2008,4.14,112.19
KOTA BANDAR LAMPUNG,juni,2008,2.93,111.88
KOTA METRO,juni,2008,0,0
TANJUNG PANDAN,juni,2008,0,0
KOTA PANGKAL PINANG,juni,2008,4.2,114.05
KOTA BATAM,juni,2008,2.29,107.86
KOTA TANJUNG PINANG,juni,2008,2.45,111.63
DKI JAKARTA,juni,2008,1.94,109.33
KOTA BOGOR,juni,2008,1.15,112.79
KOTA SUKABUMI,juni,2008,2.8,109.1
KOTA BANDUNG,juni,2008,2.76,110.27
KOTA CIREBON,juni,2008,3.33,112.42
KOTA BEKASI,juni,2008,1.24,108.53
KOTA DEPOK,juni,2008,2.45,109.87
KOTA TASIKMALAYA,juni,2008,2.54,109.69
CILACAP,juni,2008,0,0
PURWOKERTO,juni,2008,2.75,108.41
KUDUS,juni,2008,0,0
KOTA SURAKARTA,juni,2008,2.13,106.45
KOTA SEMARANG,juni,2008,2.4,109.37
KOTA TEGAL,juni,2008,1.78,109.31
KOTA YOGYAKARTA,juni,2008,2.51,109.21
JEMBER,juni,2008,3.46,112.02
BANYUWANGI,juni,2008,0,0
SUMENEP,juni,2008,1.62,106.98
KOTA KEDIRI,juni,2008,2.04,109.21
KOTA MALANG,juni,2008,2.77,109.53
KOTA PROBOLINGGO,juni,2008,1.81,111.51
KOTA MADIUN,juni,2008,4.05,108.39
KOTA SURABAYA,juni,2008,2,108.39
KOTA TANGERANG,juni,2008,3.04,112.03
KOTA CILEGON,juni,2008,2.11,112.29
KOTA SERANG,juni,2008,2.21,110.31
SINGARAJA,juni,2008,0,0
KOTA DENPASAR,juni,2008,1.78,106.95
KOTA MATARAM,juni,2008,3.21,111.24
KOTA BIMA,juni,2008,4.94,114.38
MAUMERE,juni,2008,2.24,115.09
KOTA KUPANG,juni,2008,2.31,110.6
KOTA PONTIANAK,juni,2008,2.27,111.24
KOTA SINGKAWANG,juni,2008,2.94,113.43
SAMPIT,juni,2008,2.87,109.86
KOTA PALANGKA RAYA,juni,2008,2.22,110.19
TANJUNG,juni,2008,0,0
KOTA BANJARMASIN,juni,2008,2.48,110.41
KOTA BALIKPAPAN,juni,2008,2.88,110.64
KOTA SAMARINDA,juni,2008,3.32,113.57
KOTA TARAKAN,juni,2008,2.48,115.17
KOTA MANADO,juni,2008,3.63,111.64
KOTA PALU,juni,2008,2.44,109.64
BULUKUMBA,juni,2008,0,0
WATAMPONE,juni,2008,6.26,116.59
KOTA MAKASSAR,juni,2008,3.39,109.72
KOTA PARE-PARE,juni,2008,2.76,107.86
KOTA PALOPO,juni,2008,3.15,116.53
KOTA KENDARI,juni,2008,6.49,112.86
KOTA BAU-BAU,juni,2008,0,0
KOTA GORONTALO,juni,2008,2.59,108.85
MAMUJU,juni,2008,3.04,112.98
KOTA AMBON,juni,2008,1.76,110.68
KOTA TUAL,juni,2008,0,0
KOTA TERNATE,juni,2008,1.17,112.14
MANOKWARI,juni,2008,5.78,112.58
KOTA SORONG,juni,2008,5.72,123.89
MERAUKE,juni,2008,0,0
KOTA JAYAPURA,juni,2008,5.86,111.74
KOTA MEULABOH,juli,2008,0,0
KOTA BANDA ACEH,juli,2008,0.25,110.82
KOTA LHOKSEUMAWE,juli,2008,0.46,109.27
KOTA SIBOLGA,juli,2008,1.27,111.07
KOTA PEMATANG SIANTAR,juli,2008,1.24,111.47
KOTA MEDAN,juli,2008,1.36,111.42
KOTA PADANGSIDIMPUAN,juli,2008,1.42,113.94
KOTA PADANG,juli,2008,1.51,113.09
KOTA BUKITTINGGI,juli,2008,0,0
TEMBILAHAN,juli,2008,0,0
KOTA PEKANBARU,juli,2008,1.32,116.74
KOTA DUMAI,juli,2008,1.68,115.25
BUNGO,juli,2008,0,0
KOTA JAMBI,juli,2008,1.17,114.23
KOTA PALEMBANG,juli,2008,1.32,114.15
KOTA LUBUKLINGGAU,juli,2008,0,0
KOTA BENGKULU,juli,2008,2.63,115.14
KOTA BANDAR LAMPUNG,juli,2008,2.2,114.34
KOTA METRO,juli,2008,0,0
TANJUNG PANDAN,juli,2008,0,0
KOTA PANGKAL PINANG,juli,2008,1.01,115.2
KOTA BATAM,juli,2008,1.12,109.07
KOTA TANJUNG PINANG,juli,2008,0.71,112.42
DKI JAKARTA,juli,2008,1.26,110.71
KOTA BOGOR,juli,2008,0.71,113.59
KOTA SUKABUMI,juli,2008,0.51,109.66
KOTA BANDUNG,juli,2008,0.97,111.34
KOTA CIREBON,juli,2008,1.63,114.25
KOTA BEKASI,juli,2008,1.99,110.69
KOTA DEPOK,juli,2008,1.37,111.37
KOTA TASIKMALAYA,juli,2008,1.67,111.52
CILACAP,juli,2008,0,0
PURWOKERTO,juli,2008,2.58,111.21
KUDUS,juli,2008,0,0
KOTA SURAKARTA,juli,2008,1.53,108.08
KOTA SEMARANG,juli,2008,1.21,110.69
KOTA TEGAL,juli,2008,1.76,111.23
KOTA YOGYAKARTA,juli,2008,1.31,110.64
JEMBER,juli,2008,1.76,113.99
BANYUWANGI,juli,2008,0,0
