City,Month,Year,Inflation
KOTA DUMAI,april,2008,0.55
BUNGO,april,2008,0.0
KOTA JAMBI,april,2008,0.57
KOTA PALEMBANG,april,2008,2.38
KOTA LUBUKLINGGAU,april,2008,0.0
KOTA BENGKULU,april,2008,0.22
KOTA BANDAR LAMPUNG,april,2008,0.07
KOTA METRO,april,2008,0.0
TANJUNG PANDAN,april,2008,0.0
KOTA PANGKAL PINANG,april,2008,1.0
KOTA BATAM,april,2008,0.53
KOTA TANJUNG PINANG,april,2008,0.89
DKI JAKARTA,april,2008,0.79
KOTA BOGOR,april,2008,0.17
KOTA SUKABUMI,april,2008,0.2
KOTA BANDUNG,april,2008,0.51
KOTA CIREBON,april,2008,0.08
KOTA BEKASI,april,2008,1.24
KOTA DEPOK,april,2008,0.29
KOTA TASIKMALAYA,april,2008,0.5
CILACAP,april,2008,0.0
PURWOKERTO,april,2008,0.36
KUDUS,april,2008,0.0
KOTA SURAKARTA,april,2008,0.12
KOTA SEMARANG,april,2008,0.46
KOTA TEGAL,april,2008,0.1
KOTA YOGYAKARTA,april,2008,0.21
JEMBER,april,2008,0.48
BANYUWANGI,april,2008,0.0
SUMENEP,april,2008,0.42
KOTA KEDIRI,april,2008,0.89
KOTA MALANG,april,2008,1.54
KOTA PROBOLINGGO,april,2008,1.44
KOTA MADIUN,april,2008,0.64
KOTA SURABAYA,april,2008,0.79
KOTA TANGERANG,april,2008,0.1
KOTA CILEGON,april,2008,0.51
KOTA SERANG,april,2008,0.22
SINGARAJA,april,2008,0.0
KOTA DENPASAR,april,2008,0.11
KOTA MATARAM,april,2008,0.13
KOTA BIMA,april,2008,0.32
MAUMERE,april,2008,0.65
KOTA KUPANG,april,2008,0.43
KOTA PONTIANAK,april,2008,0.26
KOTA SINGKAWANG,april,2008,0.15
SAMPIT,april,2008,0.08
KOTA PALANGKA RAYA,april,2008,-0.09
TANJUNG,april,2008,0.0
KOTA BANJARMASIN,april,2008,-0.18
KOTA BALIKPAPAN,april,2008,0.72
KOTA SAMARINDA,april,2008,0.55
KOTA TARAKAN,april,2008,0.38
KOTA MANADO,april,2008,0.31
KOTA PALU,april,2008,0.56
BULUKUMBA,april,2008,0.0
WATAMPONE,april,2008,1.16
KOTA MAKASSAR,april,2008,0.05
KOTA PARE-PARE,april,2008,0.11
KOTA PALOPO,april,2008,-0.13
KOTA KENDARI,april,2008,0.44
KOTA BAU-BAU,april,2008,0.0
KOTA GORONTALO,april,2008,-0.1
MAMUJU,april,2008,0.41
KOTA AMBON,april,2008,1.82
KOTA TUAL,april,2008,0.0
KOTA TERNATE,april,2008,0.45
MANOKWARI,april,2008,0.08
KOTA SORONG,april,2008,1.13
MERAUKE,april,2008,0.0
KOTA JAYAPURA,april,2008,-0.45
KOTA MEULABOH,mei,2008,0.0
KOTA BANDA ACEH,mei,2008,3.78
KOTA LHOKSEUMAWE,mei,2008,0.98
KOTA SIBOLGA,mei,2008,1.71
KOTA PEMATANG SIANTAR,mei,2008,1.95
KOTA MEDAN,mei,2008,1.57
KOTA PADANGSIDIMPUAN,mei,2008,0.72
KOTA PADANG,mei,2008,0.54
KOTA BUKITTINGGI,mei,2008,0.0
TEMBILAHAN,mei,2008,0.0
KOTA PEKANBARU,mei,2008,0.51
KOTA DUMAI,mei,2008,1.93
BUNGO,mei,2008,0.0
KOTA JAMBI,mei,2008,2.53
KOTA PALEMBANG,mei,2008,1.56
KOTA LUBUKLINGGAU,mei,2008,0.0
KOTA BENGKULU,mei,2008,2.19
KOTA BANDAR LAMPUNG,mei,2008,2.48
KOTA METRO,mei,2008,0.0
TANJUNG PANDAN,mei,2008,0.0
KOTA PANGKAL PINANG,mei,2008,2.41
KOTA BATAM,mei,2008,0.61
KOTA TANJUNG PINANG,mei,2008,1.71
DKI JAKARTA,mei,2008,1.51
KOTA BOGOR,mei,2008,2.95
KOTA SUKABUMI,mei,2008,0.25
KOTA BANDUNG,mei,2008,1.59
KOTA CIREBON,mei,2008,1.57
KOTA BEKASI,mei,2008,1.07
KOTA DEPOK,mei,2008,0.75
KOTA TASIKMALAYA,mei,2008,1.25
CILACAP,mei,2008,0.0
PURWOKERTO,mei,2008,0.97
KUDUS,mei,2008,0.0
KOTA SURAKARTA,mei,2008,1.41
KOTA SEMARANG,mei,2008,1.19
KOTA TEGAL,mei,2008,1.2
KOTA YOGYAKARTA,mei,2008,1.08
JEMBER,mei,2008,1.39
BANYUWANGI,mei,2008,0.0
SUMENEP,mei,2008,1.82
KOTA KEDIRI,mei,2008,1.46
KOTA MALANG,mei,2008,0.33
KOTA PROBOLINGGO,mei,2008,0.61
KOTA MADIUN,mei,2008,1.33
KOTA SURABAYA,mei,2008,1.39
KOTA TANGERANG,mei,2008,2.01
KOTA CILEGON,mei,2008,3.58
KOTA SERANG,mei,2008,0.91
SINGARAJA,mei,2008,0.0
KOTA DENPASAR,mei,2008,1.15
KOTA MATARAM,mei,2008,1.79
KOTA BIMA,mei,2008,1.84
MAUMERE,mei,2008,3.93
KOTA KUPANG,mei,2008,1.99
KOTA PONTIANAK,mei,2008,1.65
KOTA SINGKAWANG,mei,2008,2.14
SAMPIT,mei,2008,1.29
KOTA PALANGKA RAYA,mei,2008,0.19
TANJUNG,mei,2008,0.0
KOTA BANJARMASIN,mei,2008,0.59
KOTA BALIKPAPAN,mei,2008,0.45
KOTA SAMARINDA,mei,2008,2.08
KOTA TARAKAN,mei,2008,1.5
KOTA MANADO,mei,2008,0.83
KOTA PALU,mei,2008,1.87
BULUKUMBA,mei,2008,0.0
WATAMPONE,mei,2008,-1.28
KOTA MAKASSAR,mei,2008,0.79
KOTA PARE-PARE,mei,2008,1.37
KOTA PALOPO,mei,2008,2.0
KOTA KENDARI,mei,2008,2.13
KOTA BAU-BAU,mei,2008,0.0
KOTA GORONTALO,mei,2008,1.3
MAMUJU,mei,2008,0.76
KOTA AMBON,mei,2008,3.38
KOTA TUAL,mei,2008,0.0
KOTA TERNATE,mei,2008,2.58
MANOKWARI,mei,2008,0.42
KOTA SORONG,mei,2008,7.18
MERAUKE,mei,2008,0.0
KOTA JAYAPURA,mei,2008,0.53
KOTA MEULABOH,juni,2008,0.0
KOTA BANDA ACEH,juni,2008,2.75
KOTA LHOKSEUMAWE,juni,2008,4.38
KOTA SIBOLGA,juni,2008,2.31
KOTA PEMATANG SIANTAR,juni,2008,2.88
KOTA MEDAN,juni,2008,2.07
KOTA PADANGSIDIMPUAN,juni,2008,2.53
KOTA PADANG,juni,2008,4.09
KOTA BUKITTINGGI,juni,2008,0.0
TEMBILAHAN,juni,2008,0.0
KOTA PEKANBARU,juni,2008,2.46
KOTA DUMAI,juni,2008,3.8
BUNGO,juni,2008,0.0
KOTA JAMBI,juni,2008,4.19
KOTA PALEMBANG,juni,2008,3.41
KOTA LUBUKLINGGAU,juni,2008,0.0
KOTA BENGKULU,juni,2008,4.14
KOTA BANDAR LAMPUNG,juni,2008,2.93
KOTA METRO,juni,2008,0.0
TANJUNG PANDAN,juni,2008,0.0
KOTA PANGKAL PINANG,juni,2008,4.2
KOTA BATAM,juni,2008,2.29
KOTA TANJUNG PINANG,juni,2008,2.45
DKI JAKARTA,juni,2008,1.94
KOTA BOGOR,juni,2008,1.15
KOTA SUKABUMI,juni,2008,2.8
KOTA BANDUNG,juni,2008,2.76
KOTA CIREBON,juni,2008,3.33
KOTA BEKASI,juni,2008,1.24
KOTA DEPOK,juni,2008,2.45
KOTA TASIKMALAYA,juni,2008,2.54
CILACAP,juni,2008,0.0
PURWOKERTO,juni,2008,2.75
KUDUS,juni,2008,0.0
KOTA SURAKARTA,juni,2008,2.13
KOTA SEMARANG,juni,2008,2.4
KOTA TEGAL,juni,2008,1.78
KOTA YOGYAKARTA,juni,2008,2.51
JEMBER,juni,2008,3.46
BANYUWANGI,juni,2008,0.0
SUMENEP,juni,2008,1.62
KOTA KEDIRI,juni,2008,2.04
KOTA MALANG,juni,2008,2.77
KOTA PROBOLINGGO,juni,2008,1.81
KOTA MADIUN,juni,2008,4.05
KOTA SURABAYA,juni,2008,2.0
KOTA TANGERANG,juni,2008,3.04
KOTA CILEGON,juni,2008,2.11
KOTA SERANG,juni,2008,2.21
SINGARAJA,juni,2008,0.0
KOTA DENPASAR,juni,2008,1.78
KOTA MATARAM,juni,2008,3.21
KOTA BIMA,juni,2008,4.94
MAUMERE,juni,2008,2.24
KOTA KUPANG,juni,2008,2.31
KOTA PONTIANAK,juni,2008,2.27
KOTA SINGKAWANG,juni,2008,2.94
SAMPIT,juni,2008,2.87
KOTA PALANGKA RAYA,juni,2008,2.22
TANJUNG,juni,2008,0.0
KOTA BANJARMASIN,juni,2008,2.48
KOTA BALIKPAPAN,juni,2008,2.88
KOTA SAMARINDA,juni,2008,3.32
KOTA TARAKAN,juni,2008,2.48
KOTA MANADO,juni,2008,3.63
KOTA PALU,juni,2008,2.44
BULUKUMBA,juni,2008,0.0
WATAMPONE,juni,2008,6.26
KOTA MAKASSAR,juni,2008,3.39
KOTA PARE-PARE,juni,2008,2.76
KOTA PALOPO,juni,2008,3.15
KOTA KENDARI,juni,2008,6.49
KOTA BAU-BAU,juni,2008,0.0
KOTA GORONTALO,juni,2008,2.59
MAMUJU,juni,2008,3.04
KOTA AMBON,juni,2008,1.76
KOTA TUAL,juni,2008,0.0
KOTA TERNATE,juni,2008,1.17
MANOKWARI,juni,2008,5.78
KOTA SORONG,juni,2008,5.72
MERAUKE,juni,2008,0.0
KOTA JAYAPURA,juni,2008,5.86
KOTA MEULABOH,juli,2008,0.0
KOTA BANDA ACEH,juli,2008,0.25
KOTA LHOKSEUMAWE,juli,2008,0.46
KOTA SIBOLGA,juli,2008,1.27
KOTA PEMATANG SIANTAR,juli,2008,1.24
KOTA MEDAN,juli,2008,1.36
KOTA PADANGSIDIMPUAN,juli,2008,1.42
KOTA PADANG,juli,2008,1.51
KOTA BUKITTINGGI,juli,2008,0.0
TEMBILAHAN,juli,2008,0.0
KOTA PEKANBARU,juli,2008,1.32
KOTA DUMAI,juli,2008,1.68
BUNGO,juli,2008,0.0
KOTA JAMBI,juli,2008,1.17
KOTA PALEMBANG,juli,2008,1.32
KOTA LUBUKLINGGAU,juli,2008,0.0
KOTA BENGKULU,juli,2008,2.63
KOTA BANDAR LAMPUNG,juli,2008,2.2
KOTA METRO,juli,2008,0.0
TANJUNG PANDAN,juli,2008,0.0
KOTA PANGKAL PINANG,juli,2008,1.01
KOTA BATAM,juli,2008,1.12
KOTA TANJUNG PINANG,juli,2008,0.71
DKI JAKARTA,juli,2008,1.26
KOTA BOGOR,juli,2008,0.71
KOTA SUKABUMI,juli,2008,0.51
KOTA BANDUNG,juli,2008,0.97
KOTA CIREBON,juli,2008,1.63
KOTA BEKASI,juli,2008,1.99
KOTA DEPOK,juli,2008,1.37
KOTA TASIKMALAYA,juli,2008,1.67
CILACAP,juli,2008,0.0
PURWOKERTO,juli,2008,2.58
KUDUS,juli,2008,0.0
KOTA SURAKARTA,juli,2008,1.53
KOTA SEMARANG,juli,2008,1.21
KOTA TEGAL,juli,2008,1.76
KOTA YOGYAKARTA,juli,2008,1.31
JEMBER,juli,2008,1.76
BANYUWANGI,juli,2008,0.0
SUMENEP,juli,2008,0.72
KOTA KEDIRI,juli,2008,1.76
KOTA MALANG,juli,2008,1.54
KOTA PROBOLINGGO,juli,2008,3.08
KOTA MADIUN,juli,2008,1.2
KOTA SURABAYA,juli,2008,0.98
KOTA TANGERANG,juli,2008,0.41
KOTA CILEGON,juli,2008,0.48
KOTA SERANG,juli,2008,1.76
SINGARAJA,juli,2008,0.0
KOTA DENPASAR,juli,2008,1.63
KOTA MATARAM,juli,2008,1.72
KOTA BIMA,juli,2008,0.98
MAUMERE,juli,2008,1.76
KOTA KUPANG,juli,2008,1.13
KOTA PONTIANAK,juli,2008,1.44
KOTA SINGKAWANG,juli,2008,0.61
SAMPIT,juli,2008,1.47
KOTA PALANGKA RAYA,juli,2008,1.56
TANJUNG,juli,2008,0.0
KOTA BANJARMASIN,juli,2008,1.12
KOTA BALIKPAPAN,juli,2008,1.67
KOTA SAMARINDA,juli,2008,1.23
KOTA TARAKAN,juli,2008,2.14
KOTA MANADO,juli,2008,2.33
KOTA PALU,juli,2008,2.65
BULUKUMBA,juli,2008,0.0
WATAMPONE,juli,2008,1.2
KOTA MAKASSAR,juli,2008,1.27
KOTA PARE-PARE,juli,2008,2.25
KOTA PALOPO,juli,2008,2.77
KOTA KENDARI,juli,2008,1.77
KOTA BAU-BAU,juli,2008,0.0
KOTA GORONTALO,juli,2008,1.27
MAMUJU,juli,2008,0.81
KOTA AMBON,juli,2008,1.85
KOTA TUAL,juli,2008,0.0
KOTA TERNATE,juli,2008,1.34
MANOKWARI,juli,2008,4.33
KOTA SORONG,juli,2008,4.05
MERAUKE,juli,2008,0.0
KOTA JAYAPURA,juli,2008,0.77
KOTA MEULABOH,agustus,2008,0.0
KOTA BANDA ACEH,agustus,2008,-0.56
KOTA LHOKSEUMAWE,agustus,2008,1.14
KOTA SIBOLGA,agustus,2008,0.09
KOTA PEMATANG SIANTAR,agustus,2008,0.02
KOTA MEDAN,agustus,2008,-0.36
